,기간,자치구,사람 수,남자수,여자수,유기견수,복귀,입양분양,폐사안락사,계류기증,분류,있다,없다,동물판매업소,유상입양,무상입양,인터넷을 통해 구입,유기동물 입양,원래 기르던 동물이 낳은 새끼,기타,계,1인가구,2인가구,3인가구,4인가구,5인 가구,6인가구,7인이상 가구,평균가구원수,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상,합계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내 주택,주택이외의 거처,합계_남,합계_여,단독주택_남,단독주택_여,아파트_남,아파트_여,연립주택_남,연립주택_여,다세대주택_남,다세대주택_여,비거주용 건물내 주택_남,비거주용 건물내 주택_여,주택이외의 거처_남,주택이외의 거처_여
24,2005,송파구,605840,299659,306181,791,38,16,195,542,,,,,,,,,,,187000.0,31972.0,34772.0,42391.0,58994.0,15352.0,2725.0,794.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2005,강동구,464059,233352,230707,722,41,5,232,444,,,,,,,,,,,142929.0,23586.0,25801.0,32928.0,45995.0,11736.0,2182.0,701.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2006,합계,10181166,5062107,5119059,11423,666,695,5310,4752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2006,종로구,166793,83634,83159,185,14,3,66,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2006,중구,130649,65208,65441,148,7,3,29,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2006,용산구,232035,114041,117994,296,13,6,96,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2006,성동구,334437,167763,166674,303,14,8,269,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2006,광진구,374442,186268,188174,637,33,14,188,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2006,동대문구,378860,190947,187913,450,24,9,153,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2006,중랑구,426078,212918,213160,510,28,25,442,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
