기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2011,"서울특별시  (1100000000)",계    ,10249679,1383169,7821760,4435922,1044750,691414,279540,73796
2011,"서울특별시  (1100000000)",남    ,5073899,714606,3906238,2228709,453055,328034,105145,19876
2011,"서울특별시  (1100000000)",여    ,5175780,668563,3915522,2207213,591695,363380,174395,53920
2011,"서울특별시 종로구 (1111000000)",계    ,168382,19227,126355,69582,22800,14377,6463,1960
2011,"서울특별시 종로구 (1111000000)",남    ,83931,9983,64023,35429,9925,6627,2627,671
2011,"서울특별시 종로구 (1111000000)",여    ,84451,9244,62332,34153,12875,7750,3836,1289
2011,"서울특별시 종로구 청운효자동(1111051500)",계    ,15260,2299,10959,6246,2002,1238,601,163
2011,"서울특별시 종로구 청운효자동(1111051500)",남    ,7384,1251,5301,2940,832,534,253,45
2011,"서울특별시 종로구 청운효자동(1111051500)",여    ,7876,1048,5658,3306,1170,704,348,118
2011,"서울특별시 종로구 사직동(1111053000)",계    ,10150,1166,7428,4082,1556,947,469,140
2011,"서울특별시 종로구 사직동(1111053000)",남    ,4701,598,3449,1886,654,420,192,42
2011,"서울특별시 종로구 사직동(1111053000)",여    ,5449,568,3979,2196,902,527,277,98
2011,"서울특별시 종로구 삼청동(1111054000)",계    ,3415,364,2450,1296,601,338,192,71
2011,"서울특별시 종로구 삼청동(1111054000)",남    ,1643,186,1204,646,253,143,75,35
2011,"서울특별시 종로구 삼청동(1111054000)",여    ,1772,178,1246,650,348,195,117,36
2011,"서울특별시 종로구 부암동(1111055000)",계    ,11369,1383,8420,4282,1566,967,458,141
2011,"서울특별시 종로구 부암동(1111055000)",남    ,5629,728,4171,2028,730,472,204,54
2011,"서울특별시 종로구 부암동(1111055000)",여    ,5740,655,4249,2254,836,495,254,87
2011,"서울특별시 종로구 평창동(1111056000)",계    ,19677,2427,14678,7418,2572,1502,784,286
2011,"서울특별시 종로구 평창동(1111056000)",남    ,9443,1285,7106,3379,1052,666,313,73
2011,"서울특별시 종로구 평창동(1111056000)",여    ,10234,1142,7572,4039,1520,836,471,213
2011,"서울특별시 종로구 무악동(1111057000)",계    ,8562,1276,6201,3419,1085,690,313,82
2011,"서울특별시 종로구 무악동(1111057000)",남    ,4115,631,3021,1691,463,305,125,33
2011,"서울특별시 종로구 무악동(1111057000)",여    ,4447,645,3180,1728,622,385,188,49
2011,"서울특별시 종로구 교남동(1111058000)",계    ,9048,987,6742,3828,1319,886,329,104
2011,"서울특별시 종로구 교남동(1111058000)",남    ,4493,510,3416,2011,567,399,133,35
2011,"서울특별시 종로구 교남동(1111058000)",여    ,4555,477,3326,1817,752,487,196,69
2011,"서울특별시 종로구 가회동(1111060000)",계    ,5555,654,4049,2275,852,531,238,83
2011,"서울특별시 종로구 가회동(1111060000)",남    ,2667,341,1980,1136,346,227,94,25
2011,"서울특별시 종로구 가회동(1111060000)",여    ,2888,313,2069,1139,506,304,144,58
2011,"서울특별시 종로구 종로1.2.3.4가동(1111061500)",계    ,7923,486,5921,3054,1516,938,408,170
2011,"서울특별시 종로구 종로1.2.3.4가동(1111061500)",남    ,4533,253,3513,1875,767,515,179,73
2011,"서울특별시 종로구 종로1.2.3.4가동(1111061500)",여    ,3390,233,2408,1179,749,423,229,97
2011,"서울특별시 종로구 종로5.6가동(1111063000)",계    ,6156,538,4706,2543,912,572,268,72
2011,"서울특별시 종로구 종로5.6가동(1111063000)",남    ,3319,282,2605,1461,432,293,102,37
2011,"서울특별시 종로구 종로5.6가동(1111063000)",여    ,2837,256,2101,1082,480,279,166,35
2011,"서울특별시 종로구 이화동(1111064000)",계    ,9252,935,7219,4324,1098,697,311,90
2011,"서울특별시 종로구 이화동(1111064000)",남    ,4446,470,3542,2149,434,305,106,23
2011,"서울특별시 종로구 이화동(1111064000)",여    ,4806,465,3677,2175,664,392,205,67
2011,"서울특별시 종로구 혜화동(1111065000)",계    ,12172,1491,9290,5508,1391,881,397,113
2011,"서울특별시 종로구 혜화동(1111065000)",남    ,5926,761,4571,2742,594,394,153,47
2011,"서울특별시 종로구 혜화동(1111065000)",여    ,6246,730,4719,2766,797,487,244,66
2011,"서울특별시 종로구 명륜3가동(1111066000)",계    ,6246,466,4906,2884,874,573,246,55
2011,"서울특별시 종로구 명륜3가동(1111066000)",남    ,3283,224,2696,1699,363,238,106,19
2011,"서울특별시 종로구 명륜3가동(1111066000)",여    ,2963,242,2210,1185,511,335,140,36
2011,"서울특별시 종로구 창신제1동(1111067000)",계    ,6854,649,5248,2773,957,663,226,68
2011,"서울특별시 종로구 창신제1동(1111067000)",남    ,3619,342,2841,1496,436,317,95,24
2011,"서울특별시 종로구 창신제1동(1111067000)",여    ,3235,307,2407,1277,521,346,131,44
2011,"서울특별시 종로구 창신제2동(1111068000)",계    ,11486,1214,8881,4875,1391,941,358,92
2011,"서울특별시 종로구 창신제2동(1111068000)",남    ,5844,615,4621,2640,608,437,142,29
2011,"서울특별시 종로구 창신제2동(1111068000)",여    ,5642,599,4260,2235,783,504,216,63
2011,"서울특별시 종로구 창신제3동(1111069000)",계    ,8549,1171,6434,3504,944,599,266,79
2011,"서울특별시 종로구 창신제3동(1111069000)",남    ,4258,607,3252,1764,399,268,103,28
2011,"서울특별시 종로구 창신제3동(1111069000)",여    ,4291,564,3182,1740,545,331,163,51
2011,"서울특별시 종로구 숭인제1동(1111070000)",계    ,7450,906,5690,3268,854,541,255,58
2011,"서울특별시 종로구 숭인제1동(1111070000)",남    ,3748,464,2909,1702,375,252,104,19
2011,"서울특별시 종로구 숭인제1동(1111070000)",여    ,3702,442,2781,1566,479,289,151,39
2011,"서울특별시 종로구 숭인제2동(1111071000)",계    ,9258,815,7133,4003,1310,873,344,93
2011,"서울특별시 종로구 숭인제2동(1111071000)",남    ,4880,435,3825,2184,620,442,148,30
2011,"서울특별시 종로구 숭인제2동(1111071000)",여    ,4378,380,3308,1819,690,431,196,63
2011,"서울특별시 중구 (1114000000)",계    ,133193,14715,100550,56396,17928,11377,5111,1440
2011,"서울특별시 중구 (1114000000)",남    ,67065,7514,52010,29537,7541,5164,1915,462
2011,"서울특별시 중구 (1114000000)",여    ,66128,7201,48540,26859,10387,6213,3196,978
2011,"서울특별시 중구 소공동(1114052000)",계    ,1301,137,1016,651,148,89,39,20
2011,"서울특별시 중구 소공동(1114052000)",남    ,689,68,562,360,59,39,13,7
2011,"서울특별시 중구 소공동(1114052000)",여    ,612,69,454,291,89,50,26,13
2011,"서울특별시 중구 회현동(1114054000)",계    ,5676,368,4233,2063,1075,655,287,133
2011,"서울특별시 중구 회현동(1114054000)",남    ,3111,174,2435,1200,502,318,133,51
2011,"서울특별시 중구 회현동(1114054000)",여    ,2565,194,1798,863,573,337,154,82
2011,"서울특별시 중구 명동(1114055000)",계    ,3411,221,2595,1403,595,384,150,61
2011,"서울특별시 중구 명동(1114055000)",남    ,1525,106,1211,666,208,161,32,15
2011,"서울특별시 중구 명동(1114055000)",여    ,1886,115,1384,737,387,223,118,46
2011,"서울특별시 중구 필동(1114057000)",계    ,4616,418,3492,1892,706,423,218,65
2011,"서울특별시 중구 필동(1114057000)",남    ,2481,224,1959,1102,298,203,73,22
2011,"서울특별시 중구 필동(1114057000)",여    ,2135,194,1533,790,408,220,145,43
2011,"서울특별시 중구 장충동(1114058000)",계    ,5596,549,4362,2528,685,440,189,56
2011,"서울특별시 중구 장충동(1114058000)",남    ,2880,281,2301,1381,298,209,67,22
2011,"서울특별시 중구 장충동(1114058000)",여    ,2716,268,2061,1147,387,231,122,34
2011,"서울특별시 중구 광희동(1114059000)",계    ,5698,415,4395,2271,888,554,255,79
2011,"서울특별시 중구 광희동(1114059000)",남    ,3066,211,2440,1297,415,279,104,32
2011,"서울특별시 중구 광희동(1114059000)",여    ,2632,204,1955,974,473,275,151,47
2011,"서울특별시 중구 을지로동(1114060500)",계    ,2027,112,1514,737,401,229,131,41
2011,"서울특별시 중구 을지로동(1114060500)",남    ,1261,55,994,490,212,132,65,15
2011,"서울특별시 중구 을지로동(1114060500)",여    ,766,57,520,247,189,97,66,26
2011,"서울특별시 중구 신당제1동(1114061000)",계    ,8187,766,6369,3553,1052,684,292,76
2011,"서울특별시 중구 신당제1동(1114061000)",남    ,4217,394,3370,1920,453,319,110,24
2011,"서울특별시 중구 신당제1동(1114061000)",여    ,3970,372,2999,1633,599,365,182,52
2011,"서울특별시 중구 신당제2동(1114062000)",계    ,16647,1837,12803,7377,2007,1326,548,133
2011,"서울특별시 중구 신당제2동(1114062000)",남    ,8253,960,6455,3768,838,583,215,40
2011,"서울특별시 중구 신당제2동(1114062000)",여    ,8394,877,6348,3609,1169,743,333,93
2011,"서울특별시 중구 신당제3동(1114063000)",계    ,19523,2484,14400,8214,2639,1635,793,211
2011,"서울특별시 중구 신당제3동(1114063000)",남    ,9417,1239,7091,4082,1087,723,292,72
2011,"서울특별시 중구 신당제3동(1114063000)",여    ,10106,1245,7309,4132,1552,912,501,139
2011,"서울특별시 중구 신당제4동(1114064000)",계    ,15991,2135,11832,6785,2024,1271,594,159
2011,"서울특별시 중구 신당제4동(1114064000)",남    ,7727,1115,5824,3310,788,536,209,43
2011,"서울특별시 중구 신당제4동(1114064000)",여    ,8264,1020,6008,3475,1236,735,385,116
2011,"서울특별시 중구 신당제5동(1114065000)",계    ,9404,1132,7073,4074,1199,783,342,74
2011,"서울특별시 중구 신당제5동(1114065000)",남    ,4746,581,3688,2154,477,338,123,16
2011,"서울특별시 중구 신당제5동(1114065000)",여    ,4658,551,3385,1920,722,445,219,58
2011,"서울특별시 중구 신당제6동(1114066000)",계    ,10144,1397,7562,4216,1185,727,367,91
2011,"서울특별시 중구 신당제6동(1114066000)",남    ,4966,704,3771,2114,491,306,156,29
2011,"서울특별시 중구 신당제6동(1114066000)",여    ,5178,693,3791,2102,694,421,211,62
2011,"서울특별시 중구 황학동(1114067000)",계    ,12523,1339,9685,5582,1499,1007,394,98
2011,"서울특별시 중구 황학동(1114067000)",남    ,6418,711,5087,2994,620,465,131,24
2011,"서울특별시 중구 황학동(1114067000)",여    ,6105,628,4598,2588,879,542,263,74
2011,"서울특별시 중구 중림동(1114068000)",계    ,12449,1405,9219,5050,1825,1170,512,143
2011,"서울특별시 중구 중림동(1114068000)",남    ,6308,691,4822,2699,795,553,192,50
2011,"서울특별시 중구 중림동(1114068000)",여    ,6141,714,4397,2351,1030,617,320,93
2011,"서울특별시 용산구 (1117000000)",계    ,246501,30428,184450,108450,31623,19854,9154,2615
2011,"서울특별시 용산구 (1117000000)",남    ,120183,15646,91326,54272,13211,8848,3508,855
2011,"서울특별시 용산구 (1117000000)",여    ,126318,14782,93124,54178,18412,11006,5646,1760
2011,"서울특별시 용산구 후암동(1117051000)",계    ,20156,2512,15117,8650,2527,1604,679,244
2011,"서울특별시 용산구 후암동(1117051000)",남    ,10085,1344,7694,4443,1047,737,241,69
2011,"서울특별시 용산구 후암동(1117051000)",여    ,10071,1168,7423,4207,1480,867,438,175
2011,"서울특별시 용산구 용산2가동(1117052000)",계    ,13142,1483,9888,5688,1771,1105,491,175
2011,"서울특별시 용산구 용산2가동(1117052000)",남    ,6371,781,4893,2830,697,483,161,53
2011,"서울특별시 용산구 용산2가동(1117052000)",여    ,6771,702,4995,2858,1074,622,330,122
2011,"서울특별시 용산구 남영동(1117053000)",계    ,7852,546,6137,3444,1169,740,293,136
2011,"서울특별시 용산구 남영동(1117053000)",남    ,4668,286,3758,2131,624,421,142,61
2011,"서울특별시 용산구 남영동(1117053000)",여    ,3184,260,2379,1313,545,319,151,75
2011,"서울특별시 용산구 청파동(1117055500)",계    ,23634,2507,18457,11118,2670,1750,713,207
2011,"서울특별시 용산구 청파동(1117055500)",남    ,11469,1344,9034,5559,1091,770,255,66
2011,"서울특별시 용산구 청파동(1117055500)",여    ,12165,1163,9423,5559,1579,980,458,141
2011,"서울특별시 용산구 원효로제1동(1117056000)",계    ,12523,1597,9592,5914,1334,876,353,105
2011,"서울특별시 용산구 원효로제1동(1117056000)",남    ,6263,819,4873,3048,571,400,141,30
2011,"서울특별시 용산구 원효로제1동(1117056000)",여    ,6260,778,4719,2866,763,476,212,75
2011,"서울특별시 용산구 원효로제2동(1117057000)",계    ,15815,2357,11593,6744,1865,1184,547,134
2011,"서울특별시 용산구 원효로제2동(1117057000)",남    ,7566,1129,5691,3340,746,507,193,46
2011,"서울특별시 용산구 원효로제2동(1117057000)",여    ,8249,1228,5902,3404,1119,677,354,88
2011,"서울특별시 용산구 효창동(1117058000)",계    ,11373,1590,8409,4947,1374,872,397,105
2011,"서울특별시 용산구 효창동(1117058000)",남    ,5581,843,4155,2450,583,389,161,33
2011,"서울특별시 용산구 효창동(1117058000)",여    ,5792,747,4254,2497,791,483,236,72
2011,"서울특별시 용산구 용문동(1117059000)",계    ,13311,1937,9814,5818,1560,1017,431,112
2011,"서울특별시 용산구 용문동(1117059000)",남    ,6531,1001,4880,2966,650,457,162,31
2011,"서울특별시 용산구 용문동(1117059000)",여    ,6780,936,4934,2852,910,560,269,81
2011,"서울특별시 용산구 한강로동(1117062500)",계    ,15518,1458,11769,6640,2291,1467,628,196
2011,"서울특별시 용산구 한강로동(1117062500)",남    ,7802,756,6015,3440,1031,722,248,61
2011,"서울특별시 용산구 한강로동(1117062500)",여    ,7716,702,5754,3200,1260,745,380,135
2011,"서울특별시 용산구 이촌제1동(1117063000)",계    ,27107,5079,18697,11212,3331,1866,1156,309
2011,"서울특별시 용산구 이촌제1동(1117063000)",남    ,12681,2579,8714,5084,1388,785,488,115
2011,"서울특별시 용산구 이촌제1동(1117063000)",여    ,14426,2500,9983,6128,1943,1081,668,194
2011,"서울특별시 용산구 이촌제2동(1117064000)",계    ,10482,1333,7693,4394,1456,925,429,102
2011,"서울특별시 용산구 이촌제2동(1117064000)",남    ,5029,682,3780,2203,567,391,153,23
2011,"서울특별시 용산구 이촌제2동(1117064000)",여    ,5453,651,3913,2191,889,534,276,79
