기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2010,서울특별시 종로구 숭인제2동(1111071000),계    ,9350,828,7247,4132,1275,868,318,89
2010,서울특별시 종로구 숭인제2동(1111071000),남    ,4888,437,3860,2239,591,430,132,29
2010,서울특별시 종로구 숭인제2동(1111071000),여    ,4462,391,3387,1893,684,438,186,60
2010,서울특별시 중구 (1114000000),계    ,132822,15235,100272,57484,17315,11179,4735,1401
2010,서울특별시 중구 (1114000000),남    ,66879,7764,51780,30192,7335,5120,1729,486
2010,서울특별시 중구 (1114000000),여    ,65943,7471,48492,27292,9980,6059,3006,915
2010,서울특별시 중구 소공동(1114052000),계    ,1257,131,979,633,147,91,36,20
2010,서울특별시 중구 소공동(1114052000),남    ,661,69,530,345,62,40,14,8
2010,서울특별시 중구 소공동(1114052000),여    ,596,62,449,288,85,51,22,12
2010,서울특별시 중구 회현동(1114054000),계    ,5537,362,4098,2035,1077,633,299,145
2010,서울특별시 중구 회현동(1114054000),남    ,3077,170,2381,1212,526,331,129,66
2010,서울특별시 중구 회현동(1114054000),여    ,2460,192,1717,823,551,302,170,79
2010,서울특별시 중구 명동(1114055000),계    ,3445,219,2650,1481,576,370,148,58
2010,서울특별시 중구 명동(1114055000),남    ,1537,105,1226,706,206,162,29,15
2010,서울특별시 중구 명동(1114055000),여    ,1908,114,1424,775,370,208,119,43
2010,서울특별시 중구 필동(1114057000),계    ,4675,450,3534,1983,691,420,207,64
2010,서울특별시 중구 필동(1114057000),남    ,2481,232,1962,1155,287,200,65,22
2010,서울특별시 중구 필동(1114057000),여    ,2194,218,1572,828,404,220,142,42
2010,서울특별시 중구 장충동(1114058000),계    ,5675,576,4411,2591,688,452,185,51
2010,서울특별시 중구 장충동(1114058000),남    ,2891,296,2294,1389,301,217,64,20
2010,서울특별시 중구 장충동(1114058000),여    ,2784,280,2117,1202,387,235,121,31
2010,서울특별시 중구 광희동(1114059000),계    ,5758,450,4449,2388,859,533,245,81
2010,서울특별시 중구 광희동(1114059000),남    ,3125,229,2500,1375,396,256,111,29
2010,서울특별시 중구 광희동(1114059000),여    ,2633,221,1949,1013,463,277,134,52
2010,서울특별시 중구 을지로동(1114060500),계    ,2009,106,1520,773,383,222,116,45
2010,서울특별시 중구 을지로동(1114060500),남    ,1251,59,993,515,199,126,53,20
2010,서울특별시 중구 을지로동(1114060500),여    ,758,47,527,258,184,96,63,25
2010,서울특별시 중구 신당제1동(1114061000),계    ,8403,817,6555,3784,1031,684,263,84
2010,서울특별시 중구 신당제1동(1114061000),남    ,4335,423,3475,2062,437,317,92,28
2010,서울특별시 중구 신당제1동(1114061000),여    ,4068,394,3080,1722,594,367,171,56
2010,서울특별시 중구 신당제2동(1114062000),계    ,16823,2009,12864,7616,1950,1333,502,115
2010,서울특별시 중구 신당제2동(1114062000),남    ,8284,1016,6451,3860,817,579,201,37
2010,서울특별시 중구 신당제2동(1114062000),여    ,8539,993,6413,3756,1133,754,301,78
2010,서울특별시 중구 신당제3동(1114063000),계    ,19676,2563,14568,8471,2545,1647,711,187
2010,서울특별시 중구 신당제3동(1114063000),남    ,9518,1280,7186,4223,1052,733,257,62
