기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2013,"서울특별시  (1100000000)",계    ,10143645,1291410,7690527,4271865,1161708,757858,318897,84953
2013,"서울특별시  (1100000000)",남    ,5007869,665917,3833223,2139354,508729,359061,126698,22970
2013,"서울특별시  (1100000000)",여    ,5135776,625493,3857304,2132511,652979,398797,192199,61983
2013,"서울특별시 종로구 (1111000000)",계    ,160070,16985,119232,63882,23853,14636,7014,2203
2013,"서울특별시 종로구 (1111000000)",남    ,79519,8811,60239,32193,10469,6792,2929,748
2013,"서울특별시 종로구 (1111000000)",여    ,80551,8174,58993,31689,13384,7844,4085,1455
2013,"서울특별시 종로구 청운효자동(1111051500)",계    ,14570,2017,10468,5815,2085,1251,651,183
2013,"서울특별시 종로구 청운효자동(1111051500)",남    ,6971,1107,5007,2672,857,530,274,53
2013,"서울특별시 종로구 청운효자동(1111051500)",여    ,7599,910,5461,3143,1228,721,377,130
2013,"서울특별시 종로구 사직동(1111053000)",계    ,9875,1154,7117,3934,1604,925,517,162
2013,"서울특별시 종로구 사직동(1111053000)",남    ,4609,599,3319,1843,691,414,219,58
2013,"서울특별시 종로구 사직동(1111053000)",여    ,5266,555,3798,2091,913,511,298,104
2013,"서울특별시 종로구 삼청동(1111054000)",계    ,3218,310,2274,1181,634,353,200,81
2013,"서울특별시 종로구 삼청동(1111054000)",남    ,1557,167,1115,588,275,161,82,32
2013,"서울특별시 종로구 삼청동(1111054000)",여    ,1661,143,1159,593,359,192,118,49
2013,"서울특별시 종로구 부암동(1111055000)",계    ,11109,1277,8144,4102,1688,1021,518,149
2013,"서울특별시 종로구 부암동(1111055000)",남    ,5464,687,4012,1937,765,485,232,48
2013,"서울특별시 종로구 부암동(1111055000)",여    ,5645,590,4132,2165,923,536,286,101
2013,"서울특별시 종로구 평창동(1111056000)",계    ,19544,2292,14482,7222,2770,1575,860,335
2013,"서울특별시 종로구 평창동(1111056000)",남    ,9315,1207,6953,3308,1155,718,352,85
2013,"서울특별시 종로구 평창동(1111056000)",여    ,10229,1085,7529,3914,1615,857,508,250
2013,"서울특별시 종로구 무악동(1111057000)",계    ,8581,1304,6093,3256,1184,705,370,109
2013,"서울특별시 종로구 무악동(1111057000)",남    ,4091,628,2953,1593,510,314,151,45
2013,"서울특별시 종로구 무악동(1111057000)",여    ,4490,676,3140,1663,674,391,219,64
2013,"서울특별시 종로구 교남동(1111058000)",계    ,5347,568,3942,2145,837,553,215,69
2013,"서울특별시 종로구 교남동(1111058000)",남    ,2640,283,2005,1133,352,243,85,24
2013,"서울특별시 종로구 교남동(1111058000)",여    ,2707,285,1937,1012,485,310,130,45
2013,"서울특별시 종로구 가회동(1111060000)",계    ,5219,549,3784,2104,886,557,242,87
2013,"서울특별시 종로구 가회동(1111060000)",남    ,2444,274,1806,1029,364,240,99,25
2013,"서울특별시 종로구 가회동(1111060000)",여    ,2775,275,1978,1075,522,317,143,62
2013,"서울특별시 종로구 종로1.2.3.4가동(1111061500)",계    ,7856,455,5742,2774,1659,1020,456,183
2013,"서울특별시 종로구 종로1.2.3.4가동(1111061500)",남    ,4581,226,3501,1692,854,568,215,71
2013,"서울특별시 종로구 종로1.2.3.4가동(1111061500)",여    ,3275,229,2241,1082,805,452,241,112
2013,"서울특별시 종로구 종로5.6가동(1111063000)",계    ,5926,429,4470,2319,1027,639,295,93
2013,"서울특별시 종로구 종로5.6가동(1111063000)",남    ,3225,218,2513,1336,494,326,130,38
2013,"서울특별시 종로구 종로5.6가동(1111063000)",여    ,2701,211,1957,983,533,313,165,55
2013,"서울특별시 종로구 이화동(1111064000)",계    ,8995,831,7009,4127,1155,714,331,110
2013,"서울특별시 종로구 이화동(1111064000)",남    ,4275,406,3390,1998,479,326,123,30
2013,"서울특별시 종로구 이화동(1111064000)",여    ,4720,425,3619,2129,676,388,208,80
2013,"서울특별시 종로구 혜화동(1111065000)",계    ,17889,1776,13688,7927,2425,1497,735,193
2013,"서울특별시 종로구 혜화동(1111065000)",남    ,8858,918,6931,4130,1009,642,295,72
2013,"서울특별시 종로구 혜화동(1111065000)",여    ,9031,858,6757,3797,1416,855,440,121
2013,"서울특별시 종로구 창신제1동(1111067000)",계    ,6334,507,4802,2340,1025,689,263,73
2013,"서울특별시 종로구 창신제1동(1111067000)",남    ,3366,260,2630,1261,476,336,115,25
2013,"서울특별시 종로구 창신제1동(1111067000)",여    ,2968,247,2172,1079,549,353,148,48
2013,"서울특별시 종로구 창신제2동(1111068000)",계    ,10679,964,8231,4284,1484,988,395,101
2013,"서울특별시 종로구 창신제2동(1111068000)",남    ,5431,485,4295,2305,651,461,152,38
2013,"서울특별시 종로구 창신제2동(1111068000)",여    ,5248,479,3936,1979,833,527,243,63
2013,"서울특별시 종로구 창신제3동(1111069000)",계    ,8189,1023,6153,3238,1013,623,303,87
2013,"서울특별시 종로구 창신제3동(1111069000)",남    ,4114,524,3152,1636,438,279,124,35
2013,"서울특별시 종로구 창신제3동(1111069000)",여    ,4075,499,3001,1602,575,344,179,52
2013,"서울특별시 종로구 숭인제1동(1111070000)",계    ,7202,785,5462,3018,955,589,290,76
2013,"서울특별시 종로구 숭인제1동(1111070000)",남    ,3630,415,2787,1580,428,278,120,30
2013,"서울특별시 종로구 숭인제1동(1111070000)",여    ,3572,370,2675,1438,527,311,170,46
2013,"서울특별시 종로구 숭인제2동(1111071000)",계    ,9537,744,7371,4096,1422,937,373,112
2013,"서울특별시 종로구 숭인제2동(1111071000)",남    ,4948,407,3870,2152,671,471,161,39
2013,"서울특별시 종로구 숭인제2동(1111071000)",여    ,4589,337,3501,1944,751,466,212,73
2013,"서울특별시 중구 (1114000000)",계    ,130465,13430,97883,53724,19152,11857,5642,1653
2013,"서울특별시 중구 (1114000000)",남    ,65371,6845,50376,27915,8150,5502,2141,507
2013,"서울특별시 중구 (1114000000)",여    ,65094,6585,47507,25809,11002,6355,3501,1146
2013,"서울특별시 중구 소공동(1114052000)",계    ,1339,159,1019,632,161,86,53,22
2013,"서울특별시 중구 소공동(1114052000)",남    ,698,70,558,337,70,39,22,9
2013,"서울특별시 중구 소공동(1114052000)",여    ,641,89,461,295,91,47,31,13
2013,"서울특별시 중구 회현동(1114054000)",계    ,5892,361,4318,1984,1213,740,315,158
2013,"서울특별시 중구 회현동(1114054000)",남    ,3200,169,2443,1100,588,390,137,61
2013,"서울특별시 중구 회현동(1114054000)",여    ,2692,192,1875,884,625,350,178,97
2013,"서울특별시 중구 명동(1114055000)",계    ,3279,216,2440,1273,623,372,185,66
2013,"서울특별시 중구 명동(1114055000)",남    ,1440,98,1117,595,225,161,47,17
2013,"서울특별시 중구 명동(1114055000)",여    ,1839,118,1323,678,398,211,138,49
2013,"서울특별시 중구 필동(1114057000)",계    ,4484,375,3382,1830,727,431,224,72
2013,"서울특별시 중구 필동(1114057000)",남    ,2366,198,1864,1059,304,204,80,20
2013,"서울특별시 중구 필동(1114057000)",여    ,2118,177,1518,771,423,227,144,52
2013,"서울특별시 중구 장충동(1114058000)",계    ,5551,477,4322,2466,752,451,237,64
2013,"서울특별시 중구 장충동(1114058000)",남    ,2853,249,2277,1344,327,211,96,20
2013,"서울특별시 중구 장충동(1114058000)",여    ,2698,228,2045,1122,425,240,141,44
2013,"서울특별시 중구 광희동(1114059000)",계    ,5364,350,4067,1990,947,579,282,86
2013,"서울특별시 중구 광희동(1114059000)",남    ,2882,172,2272,1137,438,293,114,31
2013,"서울특별시 중구 광희동(1114059000)",여    ,2482,178,1795,853,509,286,168,55
2013,"서울특별시 중구 을지로동(1114060500)",계    ,1901,94,1394,606,413,243,119,51
2013,"서울특별시 중구 을지로동(1114060500)",남    ,1171,44,899,399,228,149,60,19
2013,"서울특별시 중구 을지로동(1114060500)",여    ,730,50,495,207,185,94,59,32
2013,"서울특별시 중구 신당동(1114061500)",계    ,7640,630,5861,3143,1149,736,323,90
2013,"서울특별시 중구 신당동(1114061500)",남    ,3952,326,3112,1706,514,342,139,33
2013,"서울특별시 중구 신당동(1114061500)",여    ,3688,304,2749,1437,635,394,184,57
2013,"서울특별시 중구 다산동(1114062500)",계    ,16163,1610,12373,6958,2180,1444,580,156
2013,"서울특별시 중구 다산동(1114062500)",남    ,7954,855,6180,3525,919,649,228,42
2013,"서울특별시 중구 다산동(1114062500)",여    ,8209,755,6193,3433,1261,795,352,114
2013,"서울특별시 중구 약수동(1114063500)",계    ,19030,2266,13896,7775,2868,1740,894,234
2013,"서울특별시 중구 약수동(1114063500)",남    ,9167,1132,6852,3870,1183,807,306,70
2013,"서울특별시 중구 약수동(1114063500)",여    ,9863,1134,7044,3905,1685,933,588,164
2013,"서울특별시 중구 청구동(1114064500)",계    ,15598,1903,11505,6450,2190,1311,715,164
2013,"서울특별시 중구 청구동(1114064500)",남    ,7534,1003,5687,3192,844,534,265,45
2013,"서울특별시 중구 청구동(1114064500)",여    ,8064,900,5818,3258,1346,777,450,119
2013,"서울특별시 중구 신당제5동(1114065000)",계    ,10397,1203,7808,4382,1386,887,392,107
2013,"서울특별시 중구 신당제5동(1114065000)",남    ,5252,607,4087,2316,558,392,139,27
2013,"서울특별시 중구 신당제5동(1114065000)",여    ,5145,596,3721,2066,828,495,253,80
