기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2015,서울특별시 종로구 숭인제1동(1111070000),여,"3,436",322,"2,521","1,321",593,354,185,54
2015,서울특별시 종로구 숭인제2동(1111071000),계,"9,528",604,"7,394","4,047","1,530",959,447,124
2015,서울특별시 종로구 숭인제2동(1111071000),남,"4,912",324,"3,855","2,124",733,479,211,43
2015,서울특별시 종로구 숭인제2동(1111071000),여,"4,616",280,"3,539","1,923",797,480,236,81
2015,서울특별시 중구 (1114000000),계,"125,733","11,817","93,835","50,375","20,081","11,963","6,208","1,910"
2015,서울특별시 중구 (1114000000),남,"62,687","5,981","48,043","26,063","8,663","5,578","2,479",606
2015,서울특별시 중구 (1114000000),여,"63,046","5,836","45,792","24,312","11,418","6,385","3,729","1,304"
2015,서울특별시 중구 소공동(1114052000),계,"1,248",148,942,581,158,87,50,21
2015,서울특별시 중구 소공동(1114052000),남,679,74,526,331,79,50,21,8
2015,서울특별시 중구 소공동(1114052000),여,569,74,416,250,79,37,29,13
2015,서울특별시 중구 회현동(1114054000),계,"5,594",345,"4,016","1,776","1,233",705,363,165
2015,서울특별시 중구 회현동(1114054000),남,"3,070",165,"2,284",983,621,366,188,67
2015,서울특별시 중구 회현동(1114054000),여,"2,524",180,"1,732",793,612,339,175,98
2015,서울특별시 중구 명동(1114055000),계,"3,010",184,"2,208","1,128",618,360,192,66
2015,서울특별시 중구 명동(1114055000),남,"1,303",87,"1,001",530,215,139,59,17
2015,서울특별시 중구 명동(1114055000),여,"1,707",97,"1,207",598,403,221,133,49
2015,서울특별시 중구 필동(1114057000),계,"4,300",351,"3,178","1,678",771,429,247,95
2015,서울특별시 중구 필동(1114057000),남,"2,229",188,"1,701",946,340,214,99,27
2015,서울특별시 중구 필동(1114057000),여,"2,071",163,"1,477",732,431,215,148,68
2015,서울특별시 중구 장충동(1114058000),계,"5,175",413,"3,996","2,195",766,448,250,68
2015,서울특별시 중구 장충동(1114058000),남,"2,668",220,"2,121","1,210",327,201,104,22
2015,서울특별시 중구 장충동(1114058000),여,"2,507",193,"1,875",985,439,247,146,46
2015,서울특별시 중구 광희동(1114059000),계,"4,980",291,"3,672","1,761","1,017",617,288,112
2015,서울특별시 중구 광희동(1114059000),남,"2,629",140,"2,009",975,480,329,107,44
2015,서울특별시 중구 광희동(1114059000),여,"2,351",151,"1,663",786,537,288,181,68
2015,서울특별시 중구 을지로동(1114060500),계,"1,731",65,"1,235",529,431,261,119,51
2015,서울특별시 중구 을지로동(1114060500),남,"1,100",30,828,347,242,166,58,18
2015,서울특별시 중구 을지로동(1114060500),여,631,35,407,182,189,95,61,33
2015,서울특별시 중구 신당동(1114061500),계,"7,549",511,"5,882","3,081","1,156",707,341,108
2015,서울특별시 중구 신당동(1114061500),남,"3,915",253,"3,146","1,693",516,338,142,36
2015,서울특별시 중구 신당동(1114061500),여,"3,634",258,"2,736","1,388",640,369,199,72
2015,서울특별시 중구 다산동(1114062500),계,"15,492","1,328","11,881","6,541","2,283","1,429",662,192
2015,서울특별시 중구 다산동(1114062500),남,"7,540",695,"5,856","3,339",989,673,262,54
2015,서울특별시 중구 다산동(1114062500),여,"7,952",633,"6,025","3,202","1,294",756,400,138
2015,서울특별시 중구 약수동(1114063500),계,"18,720","2,076","13,522","7,343","3,122","1,846",998,278
2015,서울특별시 중구 약수동(1114063500),남,"8,971","1,037","6,671","3,650","1,263",816,365,82
2015,서울특별시 중구 약수동(1114063500),여,"9,749","1,039","6,851","3,693","1,859","1,030",633,196
2015,서울특별시 중구 청구동(1114064500),계,"15,367","1,671","11,393","6,211","2,303","1,316",779,208
2015,서울특별시 중구 청구동(1114064500),남,"7,379",856,"5,623","3,088",900,531,311,58
2015,서울특별시 중구 청구동(1114064500),여,"7,988",815,"5,770","3,123","1,403",785,468,150
2015,서울특별시 중구 신당제5동(1114065000),계,"10,096","1,033","7,568","4,076","1,495",929,448,118
2015,서울특별시 중구 신당제5동(1114065000),남,"5,066",516,"3,945","2,144",605,400,173,32
2015,서울특별시 중구 신당제5동(1114065000),여,"5,030",517,"3,623","1,932",890,529,275,86
2015,서울특별시 중구 동화동(1114066500),계,"11,510","1,402","8,585","4,487","1,523",864,511,148
2015,서울특별시 중구 동화동(1114066500),남,"5,598",695,"4,258","2,190",645,404,195,46
2015,서울특별시 중구 동화동(1114066500),여,"5,912",707,"4,327","2,297",878,460,316,102
2015,서울특별시 중구 황학동(1114067000),계,"12,305","1,138","9,471","5,552","1,696","1,090",475,131
2015,서울특별시 중구 황학동(1114067000),남,"6,154",582,"4,821","2,840",751,526,189,36
