기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2014,"서울특별시 종로구 숭인제2동(1111071000)",남    ,4954,369,3888,2155,697,468,187,42
2014,"서울특별시 종로구 숭인제2동(1111071000)",여    ,4671,289,3600,1955,782,487,223,72
2014,"서울특별시 중구 (1114000000)",계    ,128065,12604,95721,51748,19740,11960,5970,1810
2014,"서울특별시 중구 (1114000000)",남    ,64033,6425,49123,26792,8485,5580,2344,561
2014,"서울특별시 중구 (1114000000)",여    ,64032,6179,46598,24956,11255,6380,3626,1249
2014,"서울특별시 중구 소공동(1114052000)",계    ,1278,150,962,601,166,90,55,21
2014,"서울특별시 중구 소공동(1114052000)",남    ,681,79,527,328,75,43,23,9
2014,"서울특별시 중구 소공동(1114052000)",여    ,597,71,435,273,91,47,32,12
2014,"서울특별시 중구 회현동(1114054000)",계    ,5795,348,4216,1878,1231,716,351,164
2014,"서울특별시 중구 회현동(1114054000)",남    ,3139,169,2361,1011,609,382,163,64
2014,"서울특별시 중구 회현동(1114054000)",여    ,2656,179,1855,867,622,334,188,100
2014,"서울특별시 중구 명동(1114055000)",계    ,3088,193,2277,1171,618,362,188,68
2014,"서울특별시 중구 명동(1114055000)",남    ,1336,84,1038,546,214,146,50,18
2014,"서울특별시 중구 명동(1114055000)",여    ,1752,109,1239,625,404,216,138,50
2014,"서울특별시 중구 필동(1114057000)",계    ,4418,354,3311,1761,753,437,228,88
2014,"서울특별시 중구 필동(1114057000)",남    ,2334,189,1821,1015,324,211,90,23
2014,"서울특별시 중구 필동(1114057000)",여    ,2084,165,1490,746,429,226,138,65
2014,"서울특별시 중구 장충동(1114058000)",계    ,5314,465,4085,2301,764,453,235,76
2014,"서울특별시 중구 장충동(1114058000)",남    ,2742,244,2164,1268,334,214,94,26
2014,"서울특별시 중구 장충동(1114058000)",여    ,2572,221,1921,1033,430,239,141,50
2014,"서울특별시 중구 광희동(1114059000)",계    ,5167,318,3869,1852,980,604,279,97
2014,"서울특별시 중구 광희동(1114059000)",남    ,2758,159,2127,1029,472,327,106,39
2014,"서울특별시 중구 광희동(1114059000)",여    ,2409,159,1742,823,508,277,173,58
2014,"서울특별시 중구 을지로동(1114060500)",계    ,1794,78,1292,539,424,261,110,53
2014,"서울특별시 중구 을지로동(1114060500)",남    ,1128,37,849,354,242,164,57,21
2014,"서울특별시 중구 을지로동(1114060500)",여    ,666,41,443,185,182,97,53,32
2014,"서울특별시 중구 신당동(1114061500)",계    ,7353,540,5653,2973,1160,729,330,101
2014,"서울특별시 중구 신당동(1114061500)",남    ,3785,276,2995,1616,514,345,135,34
2014,"서울특별시 중구 신당동(1114061500)",여    ,3568,264,2658,1357,646,384,195,67
2014,"서울특별시 중구 다산동(1114062500)",계    ,15814,1455,12120,6696,2239,1430,638,171
2014,"서울특별시 중구 다산동(1114062500)",남    ,7748,759,6031,3418,958,657,255,46
2014,"서울특별시 중구 다산동(1114062500)",여    ,8066,696,6089,3278,1281,773,383,125
2014,"서울특별시 중구 약수동(1114063500)",계    ,18893,2178,13715,7521,3000,1813,926,261
2014,"서울특별시 중구 약수동(1114063500)",남    ,9091,1094,6761,3761,1236,820,341,75
2014,"서울특별시 중구 약수동(1114063500)",여    ,9802,1084,6954,3760,1764,993,585,186
2014,"서울특별시 중구 청구동(1114064500)",계    ,15394,1743,11399,6271,2252,1290,772,190
2014,"서울특별시 중구 청구동(1114064500)",남    ,7425,908,5643,3114,874,520,302,52
2014,"서울특별시 중구 청구동(1114064500)",여    ,7969,835,5756,3157,1378,770,470,138
2014,"서울특별시 중구 신당제5동(1114065000)",계    ,10433,1176,7793,4291,1464,923,432,109
2014,"서울특별시 중구 신당제5동(1114065000)",남    ,5263,609,4060,2267,594,401,163,30
2014,"서울특별시 중구 신당제5동(1114065000)",여    ,5170,567,3733,2024,870,522,269,79
2014,"서울특별시 중구 동화동(1114066500)",계    ,11734,1482,8767,4680,1485,872,474,139
2014,"서울특별시 중구 동화동(1114066500)",남    ,5707,728,4356,2256,623,402,184,37
2014,"서울특별시 중구 동화동(1114066500)",여    ,6027,754,4411,2424,862,470,290,102
2014,"서울특별시 중구 황학동(1114067000)",계    ,12316,1167,9497,5529,1652,1057,470,125
2014,"서울특별시 중구 황학동(1114067000)",남    ,6192,610,4865,2882,717,512,171,34
2014,"서울특별시 중구 황학동(1114067000)",여    ,6124,557,4632,2647,935,545,299,91
2014,"서울특별시 중구 중림동(1114068000)",계    ,9274,957,6765,3684,1552,923,482,147
2014,"서울특별시 중구 중림동(1114068000)",남    ,4704,480,3525,1927,699,436,210,53
2014,"서울특별시 중구 중림동(1114068000)",여    ,4570,477,3240,1757,853,487,272,94
2014,"서울특별시 용산구 (1117000000)",계    ,235951,26599,174781,98835,34571,20358,10961,3252
2014,"서울특별시 용산구 (1117000000)",남    ,114578,13468,86631,49344,14479,9066,4385,1028
2014,"서울특별시 용산구 (1117000000)",여    ,121373,13131,88150,49491,20092,11292,6576,2224
2014,"서울특별시 용산구 후암동(1117051000)",계    ,19162,2160,14305,7859,2697,1596,807,294
2014,"서울특별시 용산구 후암동(1117051000)",남    ,9496,1108,7275,4034,1113,722,293,98
2014,"서울특별시 용산구 후암동(1117051000)",여    ,9666,1052,7030,3825,1584,874,514,196
2014,"서울특별시 용산구 용산2가동(1117052000)",계    ,12072,1145,8999,4991,1928,1146,589,193
2014,"서울특별시 용산구 용산2가동(1117052000)",남    ,5879,598,4490,2526,791,525,209,57
2014,"서울특별시 용산구 용산2가동(1117052000)",여    ,6193,547,4509,2465,1137,621,380,136
2014,"서울특별시 용산구 남영동(1117053000)",계    ,8093,440,6269,3182,1384,846,392,146
2014,"서울특별시 용산구 남영동(1117053000)",남    ,4949,241,3949,1976,759,504,190,65
2014,"서울특별시 용산구 남영동(1117053000)",여    ,3144,199,2320,1206,625,342,202,81
2014,"서울특별시 용산구 청파동(1117055500)",계    ,22018,2010,17046,9705,2962,1846,873,243
2014,"서울특별시 용산구 청파동(1117055500)",남    ,10584,1072,8304,4880,1208,795,342,71
2014,"서울특별시 용산구 청파동(1117055500)",여    ,11434,938,8742,4825,1754,1051,531,172
2014,"서울특별시 용산구 원효로제1동(1117056000)",계    ,13113,1669,9921,6066,1523,971,423,129
2014,"서울특별시 용산구 원효로제1동(1117056000)",남    ,6445,860,4896,3057,689,446,199,44
2014,"서울특별시 용산구 원효로제1동(1117056000)",여    ,6668,809,5025,3009,834,525,224,85
2014,"서울특별시 용산구 원효로제2동(1117057000)",계    ,15504,2100,11344,6233,2060,1204,678,178
2014,"서울특별시 용산구 원효로제2동(1117057000)",남    ,7301,971,5498,3049,832,522,258,52
2014,"서울특별시 용산구 원효로제2동(1117057000)",여    ,8203,1129,5846,3184,1228,682,420,126
2014,"서울특별시 용산구 효창동(1117058000)",계    ,11110,1346,8230,4580,1534,882,526,126
2014,"서울특별시 용산구 효창동(1117058000)",남    ,5425,707,4073,2262,645,377,226,42
2014,"서울특별시 용산구 효창동(1117058000)",여    ,5685,639,4157,2318,889,505,300,84
2014,"서울특별시 용산구 용문동(1117059000)",계    ,12842,1706,9402,5404,1734,1071,517,146
2014,"서울특별시 용산구 용문동(1117059000)",남    ,6204,851,4627,2677,726,477,209,40
2014,"서울특별시 용산구 용문동(1117059000)",여    ,6638,855,4775,2727,1008,594,308,106
2014,"서울특별시 용산구 한강로동(1117062500)",계    ,15034,1328,11077,6174,2629,1554,794,281
2014,"서울특별시 용산구 한강로동(1117062500)",남    ,7492,694,5632,3149,1166,731,342,93
2014,"서울특별시 용산구 한강로동(1117062500)",여    ,7542,634,5445,3025,1463,823,452,188
2014,"서울특별시 용산구 이촌제1동(1117063000)",계    ,26652,4764,18260,10713,3628,1933,1273,422
2014,"서울특별시 용산구 이촌제1동(1117063000)",남    ,12413,2355,8566,4909,1492,810,542,140
2014,"서울특별시 용산구 이촌제1동(1117063000)",여    ,14239,2409,9694,5804,2136,1123,731,282
